,positions,eventName,goal,assist,key_pass,left_foot,right_foot
240,"[{'y': 90, 'x': 91}, {'y': 0, 'x': 0}]",Pass,False,False,False,False,True
241,"[{'y': 73, 'x': 68}, {'y': 64, 'x': 72}]",Others on the ball,False,False,False,False,False
242,"[{'y': 34, 'x': 91}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
243,"[{'y': 77, 'x': 66}, {'y': 75, 'x': 69}]",Pass,False,False,False,False,False
244,"[{'y': 33, 'x': 74}, {'y': 26, 'x': 92}]",Pass,False,False,False,False,False
245,"[{'y': 91, 'x': 37}, {'y': 61, 'x': 60}]",Others on the ball,False,False,False,False,False
246,"[{'y': 61, 'x': 60}, {'y': 44, 'x': 54}]",Pass,False,False,False,False,False
247,"[{'y': 31, 'x': 73}, {'y': 0, 'x': 0}]",Free Kick,False,False,False,False,True
248,"[{'y': 0, 'x': 78}, {'y': 4, 'x': 94}]",Free Kick,False,False,False,False,False
249,"[{'y': 0, 'x': 85}, {'y': 26, 'x': 78}]",Free Kick,False,False,False,False,False
250,"[{'y': 15, 'x': 63}, {'y': 15, 'x': 57}]",Pass,False,False,False,False,False
251,"[{'y': 17, 'x': 78}, {'y': 46, 'x': 89}]",Pass,False,False,False,False,True
252,"[{'y': 54, 'x': 94}, {'y': 74, 'x': 68}]",Others on the ball,False,False,False,False,False
253,"[{'y': 64, 'x': 81}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
254,"[{'y': 78, 'x': 83}, {'y': 0, 'x': 0}]",Offside,False,False,False,False,False
255,"[{'y': 64, 'x': 72}, {'y': 72, 'x': 61}]",Pass,False,False,False,False,False
256,"[{'y': 19, 'x': 71}, {'y': 24, 'x': 75}]",Others on the ball,False,False,False,False,False
257,"[{'y': 29, 'x': 74}, {'y': 0, 'x': 0}]",Free Kick,False,False,False,False,True
258,"[{'y': 43, 'x': 93}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,False
259,"[{'y': 12, 'x': 84}, {'y': 26, 'x': 88}]",Pass,False,False,False,False,True
260,"[{'y': 20, 'x': 68}, {'y': 38, 'x': 39}]",Pass,False,False,False,False,False
261,"[{'y': 62, 'x': 72}, {'y': 45, 'x': 66}]",Pass,False,False,False,False,False
262,"[{'y': 61, 'x': 90}, {'y': 0, 'x': 0}]",Offside,False,False,False,False,False
263,"[{'y': 24, 'x': 75}, {'y': 34, 'x': 73}]",Pass,False,False,False,False,False
264,"[{'y': 12, 'x': 95}, {'y': 50, 'x': 89}]",Pass,False,False,False,True,False
265,"[{'y': 41, 'x': 72}, {'y': 34, 'x': 74}]",Pass,False,False,False,False,False
266,"[{'y': 39, 'x': 74}, {'y': 51, 'x': 75}]",Pass,False,False,False,False,False
267,"[{'y': 51, 'x': 73}, {'y': 39, 'x': 87}]",Pass,False,False,False,False,False
268,"[{'y': 28, 'x': 74}, {'y': 18, 'x': 64}]",Pass,False,False,False,False,False
269,"[{'y': 20, 'x': 72}, {'y': 17, 'x': 66}]",Pass,False,False,False,False,False
270,"[{'y': 26, 'x': 69}, {'y': 15, 'x': 59}]",Pass,False,False,False,False,False
271,"[{'y': 23, 'x': 68}, {'y': 31, 'x': 53}]",Pass,False,False,False,False,False
272,"[{'y': 71, 'x': 89}, {'y': 90, 'x': 72}]",Pass,False,False,False,False,False
273,"[{'y': 13, 'x': 67}, {'y': 33, 'x': 56}]",Pass,False,False,False,False,False
274,"[{'y': 49, 'x': 75}, {'y': 65, 'x': 71}]",Pass,False,False,False,False,False
275,"[{'y': 15, 'x': 85}, {'y': 28, 'x': 68}]",Pass,False,False,False,False,False
276,"[{'y': 62, 'x': 76}, {'y': 95, 'x': 65}]",Pass,False,False,False,False,False
277,"[{'y': 36, 'x': 83}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
278,"[{'y': 31, 'x': 79}, {'y': 0, 'x': 0}]",Offside,False,False,False,False,False
