,positions,eventName,goal,assist,key_pass,left_foot,right_foot
163,"[{'y': 85, 'x': 78}, {'y': 73, 'x': 88}]",Others on the ball,False,False,False,False,False
164,"[{'y': 73, 'x': 88}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
165,"[{'y': 80, 'x': 56}, {'y': 94, 'x': 74}]",Pass,False,False,False,False,False
166,"[{'y': 81, 'x': 63}, {'y': 70, 'x': 56}]",Pass,False,False,False,False,False
167,"[{'y': 53, 'x': 78}, {'y': 58, 'x': 88}]",Others on the ball,False,False,False,False,False
168,"[{'y': 100, 'x': 100}, {'y': 50, 'x': 92}]",Free Kick,False,False,False,False,False
169,"[{'y': 94, 'x': 44}, {'y': 97, 'x': 48}]",Pass,False,False,False,False,False
170,"[{'y': 91, 'x': 42}, {'y': 64, 'x': 36}]",Pass,False,False,False,False,False
171,"[{'y': 71, 'x': 59}, {'y': 11, 'x': 65}]",Pass,False,False,False,False,False
172,"[{'y': 72, 'x': 91}, {'y': 41, 'x': 99}]",Pass,False,False,False,True,False
173,"[{'y': 100, 'x': 100}, {'y': 93, 'x': 90}]",Free Kick,False,False,False,False,False
174,"[{'y': 96, 'x': 60}, {'y': 100, 'x': 63}]",Others on the ball,False,False,False,False,False
175,"[{'y': 80, 'x': 43}, {'y': 20, 'x': 42}]",Pass,False,False,False,False,False
176,"[{'y': 63, 'x': 51}, {'y': 21, 'x': 61}]",Pass,False,False,False,False,False
177,"[{'y': 66, 'x': 66}, {'y': 47, 'x': 75}]",Pass,False,False,False,False,False
178,"[{'y': 54, 'x': 72}, {'y': 50, 'x': 74}]",Others on the ball,False,False,False,False,False
179,"[{'y': 48, 'x': 36}, {'y': 51, 'x': 55}]",Others on the ball,False,False,False,False,False
180,"[{'y': 48, 'x': 37}, {'y': 91, 'x': 52}]",Pass,False,False,False,False,False
181,"[{'y': 71, 'x': 70}, {'y': 25, 'x': 96}]",Pass,False,False,False,False,False
182,"[{'y': 65, 'x': 68}, {'y': 34, 'x': 65}]",Pass,False,False,False,False,False
183,"[{'y': 48, 'x': 91}, {'y': 0, 'x': 0}]",Shot,True,False,False,True,False
184,"[{'y': 12, 'x': 40}, {'y': 13, 'x': 49}]",Pass,False,False,False,False,False
185,"[{'y': 85, 'x': 55}, {'y': 77, 'x': 97}]",Pass,False,False,False,False,False
186,"[{'y': 100, 'x': 100}, {'y': 42, 'x': 96}]",Free Kick,False,False,False,False,False
187,"[{'y': 50, 'x': 69}, {'y': 61, 'x': 56}]",Pass,False,False,False,False,False
188,"[{'y': 51, 'x': 74}, {'y': 49, 'x': 88}]",Pass,False,False,True,False,False
189,"[{'y': 66, 'x': 92}, {'y': 0, 'x': 0}]",Shot,False,False,False,False,True
190,"[{'y': 30, 'x': 67}, {'y': 35, 'x': 84}]",Others on the ball,False,False,False,False,False
191,"[{'y': 42, 'x': 97}, {'y': 0, 'x': 0}]",Shot,True,False,False,False,True
192,"[{'y': 81, 'x': 41}, {'y': 36, 'x': 88}]",Pass,False,False,True,False,False
193,"[{'y': 74, 'x': 54}, {'y': 85, 'x': 72}]",Pass,False,False,False,False,False
194,"[{'y': 74, 'x': 69}, {'y': 44, 'x': 97}]",Free Kick,False,False,False,False,False
195,"[{'y': 72, 'x': 59}, {'y': 80, 'x': 71}]",Pass,False,False,False,False,False
196,"[{'y': 70, 'x': 51}, {'y': 70, 'x': 48}]",Pass,False,False,False,False,False
197,"[{'y': 70, 'x': 46}, {'y': 75, 'x': 58}]",Others on the ball,False,False,False,False,False
198,"[{'y': 75, 'x': 58}, {'y': 92, 'x': 70}]",Pass,False,False,False,False,False
199,"[{'y': 66, 'x': 71}, {'y': 38, 'x': 100}]",Pass,False,False,False,False,False
200,"[{'y': 93, 'x': 84}, {'y': 91, 'x': 81}]",Pass,False,False,False,False,False
201,"[{'y': 46, 'x': 44}, {'y': 32, 'x': 55}]",Others on the ball,False,False,False,False,False
202,"[{'y': 18, 'x': 63}, {'y': 7, 'x': 61}]",Pass,False,False,False,False,False
203,"[{'y': 45, 'x': 87}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
204,"[{'y': 23, 'x': 61}, {'y': 20, 'x': 44}]",Pass,False,False,False,False,False
